	Unnamed: 0	RowNumber	CustomerId	Surname	CreditScore	Geography	Gender	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	Exited	Predictions - Churn or Not	Predictions - Probability to Churn	Predictions - Churn or Not Desc
15	15	16	15644002	AP Goforth	616	Germany	Male	45	3	143129.41	2	0	1	64327.26	0	0	0.26491544450273563	Retention
16	16	17	15737488	AP Romeo	653	Germany	Male	58	1	132602.88	1	1	0	5097.67	1	1	0.6206212596609635	Churn
17	17	18	15788254	AP Henderson	549	Spain	Female	24	9	0.0	2	1	1	14406.41	0	0	0.07594768583759208	Retention
18	18	19	15661543	AP Muldrow	587	Spain	Male	45	6	0.0	1	0	0	158684.81	0	0	0.39617110701259284	Retention
19	19	20	15569018	AP Hao	726	France	Female	24	6	0.0	2	1	1	54724.03	0	0	0.06586520549813518	Retention
20	20	21	15577693	AP McDonald	732	France	Male	41	8	0.0	2	1	1	170886.17	0	0	0.1036170663486623	Retention
21	21	22	15597981	AP Dellucci	636	Spain	Female	32	8	0.0	2	1	0	138555.46	0	0	0.13560968676049653	Retention
22	22	23	15699345	AP Gerasimov	510	Spain	Female	38	4	0.0	1	1	0	118913.53	1	0	0.2304639009586973	Retention
23	23	24	15725773	AP Mosman	669	France	Male	46	3	0.0	2	0	1	8487.75	0	0	0.15349356516386292	Retention
24	24	25	15625083	AP Yen	846	France	Female	38	5	0.0	1	1	1	187616.16	0	0	0.12294597446411627	Retention
25	25	26	15738227	AP Maclean	577	France	Male	25	3	0.0	2	0	1	124508.29	0	0	0.05868989873870087	Retention
26	26	27	15736852	AP Young	756	Germany	Male	36	2	136815.64	1	1	1	170041.95	0	0	0.17449567160814325	Retention
27	27	28	15700808	AP Nebechi	571	France	Male	44	9	0.0	2	0	0	38433.35	0	0	0.2580453939569522	Retention
28	28	29	15728729	AP McWilliams	574	Germany	Female	43	3	141349.43	1	1	1	100187.43	0	0	0.3790997968911206	Retention
29	29	30	15656336	AP Lucciano	411	France	Male	29	0	59697.17	2	1	1	53483.21	0	0	0.06486001181414386	Retention
30	30	31	15589511	AP Azikiwe	591	Spain	Female	39	3	0.0	3	1	0	140469.38	1	0	0.482915872821498	Retention
31	31	32	15706588	AP Odinakachukwu	533	France	Male	36	7	85311.7	1	0	1	156731.91	0	0	0.09554765882389253	Retention
32	32	33	15750217	AP Sanderson	553	Germany	Male	41	9	110112.54	2	0	0	81898.81	0	0	0.2735612482819156	Retention
33	33	34	15659464	AP Maggard	520	Spain	Female	42	6	0.0	2	1	1	34410.55	0	0	0.15565531469758132	Retention
34	34	35	15732999	AP Clements	722	Spain	Female	29	9	0.0	2	1	1	142033.07	0	0	0.07540896148181947	Retention
35	35	36	15794207	AP Lombardo	475	France	Female	45	0	134264.04	1	1	0	27822.99	1	0	0.44583532920385344	Retention
36	36	37	15788484	AP Watson	490	Spain	Male	31	3	145260.23	1	0	1	114066.77	0	0	0.08742432062348421	Retention
37	37	38	15729635	AP Lorenzo	804	Spain	Male	33	7	76548.6	1	0	1	98453.45	0	0	0.08471743526339612	Retention
38	38	39	15717462	AP Armstrong	850	France	Male	36	7	0.0	1	1	1	40812.9	0	0	0.08713675509653132	Retention
39	39	40	15585804	AP Cameron	582	Germany	Male	41	6	70349.48	2	0	1	178074.04	0	0	0.17913427297964055	Retention
40	40	41	15619396	AP Hsiao	472	Spain	Male	40	4	0.0	1	1	0	70154.22	0	0	0.16822125990967637	Retention
41	41	42	15738184	AP Clarke	465	France	Female	51	8	122522.32	1	0	0	181297.65	1	1	0.5152614539485724	Churn
42	42	43	15687982	AP Osborne	556	France	Female	61	2	117419.35	1	1	1	94153.83	0	0	0.24694696625173507	Retention
43	43	44	15755232	AP Lavine	834	France	Female	49	2	131394.56	1	0	0	194365.76	1	0	0.493638286361003	Retention
44	44	45	15684207	AP Bianchi	660	Spain	Female	61	5	155931.11	1	1	1	158338.39	0	0	0.2508102746054591	Retention
45	45	46	15754885	AP Tyler	776	Germany	Female	32	4	109421.13	2	1	1	126517.46	0	0	0.15003020141803552	Retention
46	46	47	15602316	AP Martin	829	Germany	Female	27	9	112045.67	1	1	1	119708.21	1	0	0.18741820676409426	Retention
47	47	48	15771609	AP Okagbue	637	Germany	Female	39	9	137843.8	1	1	1	117622.8	1	0	0.25498581307817836	Retention
48	48	49	15766241	AP Yin	550	Germany	Male	38	2	103391.38	1	0	1	90878.13	0	0	0.2011378692233075	Retention
49	49	50	15771909	AP Buccho	776	Germany	Female	37	2	103769.22	2	1	0	194099.12	0	0	0.24860201536446294	Retention
50	50	51	15616586	AP Chidiebele	698	Germany	Male	44	10	116363.37	2	1	0	198059.16	0	0	0.3745222014177428	Retention
51	51	52	15768229	AP Trevisani	585	Germany	Male	36	5	146050.97	2	0	0	86424.57	0	0	0.20637763684926708	Retention
52	52	53	15683589	AP O'Brien	788	France	Female	33	5	0.0	2	0	0	116978.19	0	0	0.12259126631003825	Retention
53	53	54	15702334	AP Parkhill	655	Germany	Male	41	8	125561.97	1	0	0	164040.94	1	0	0.331490720835211	Retention
54	54	55	15569626	AP Yoo	601	Germany	Male	42	1	98495.72	1	1	0	40014.76	1	0	0.42012373830563715	Retention
55	55	56	15760897	AP Phillipps	619	France	Male	43	1	125211.92	1	1	1	113410.49	0	0	0.1976670411714113	Retention
56	56	57	15630089	AP Tsao	656	France	Male	45	5	127864.4	1	1	0	87107.57	0	0	0.39936170899324247	Retention
57	57	58	15647127	AP Endrizzi	725	Germany	Male	19	0	75888.2	1	0	0	45613.75	0	0	0.21501107259687438	Retention
58	58	59	15623980	AP T'ien	511	Spain	Female	66	4	0.0	1	1	0	1643.11	1	1	0.5101831963610404	Churn
59	59	60	15804807	AP Velazquez	614	France	Male	51	4	40685.92	1	1	1	46775.28	0	0	0.2153330340976737	Retention
60	60	61	15651316	AP Hunter	742	Germany	Male	35	5	136857.0	1	0	0	84509.57	0	0	0.2641754085420803	Retention
61	61	62	15773505	AP Clark	687	Germany	Female	27	9	152328.88	2	0	0	126494.82	0	0	0.24478884308442228	Retention
62	62	63	15702050	AP Jeffrey	555	Spain	Male	33	1	56084.69	2	0	0	178798.13	0	0	0.11197747872231206	Retention
63	63	64	15751244	AP Pirozzi	684	Spain	Male	56	8	78707.16	1	1	1	99398.36	0	0	0.19691950107638675	Retention
64	64	65	15592497	AP Jackson	603	Germany	Male	26	4	109166.37	1	1	1	92840.67	0	0	0.1590457426149339	Retention
65	65	66	15789520	AP Hammond	751	Germany	Female	36	6	169831.46	2	1	1	27758.36	0	0	0.16029640222202754	Retention
66	66	67	15696097	AP Brownless	581	Germany	Female	34	1	101633.04	1	1	0	110431.51	0	0	0.31847113619824374	Retention
67	67	68	15641618	AP Chibugo	735	Germany	Male	43	10	123180.01	2	1	1	196673.28	0	0	0.23389198363544186	Retention
68	68	69	15638460	AP Glauert	661	Germany	Female	35	5	150725.53	2	0	1	113656.85	0	0	0.1715378816709092	Retention
69	69	70	15755684	AP Pisano	675	France	Female	21	8	98373.26	1	1	0	18203.0	0	0	0.17705521243959776	Retention
70	70	71	15703829	AP Konovalova	738	Germany	Male	58	2	133745.44	4	1	0	28373.86	1	1	0.8151624974496922	Churn
71	71	72	15620380	AP McKee	813	France	Male	29	6	0.0	1	1	0	33953.87	0	0	0.12831710953540867	Retention
72	72	73	15812554	AP Palermo	657	Spain	Female	37	0	163607.18	1	0	1	44203.55	0	0	0.12665643171410756	Retention
73	73	74	15779088	AP Ballard	604	Germany	Female	25	5	157780.84	2	1	1	58426.81	0	0	0.150896685252182	Retention
74	74	75	15770847	AP Wallace	519	France	Male	36	9	0.0	2	0	1	145562.4	0	0	0.06635329889673709	Retention
75	75	76	15780997	AP Cavenagh	735	France	Female	21	1	178718.19	2	1	0	22388.0	0	0	0.17821629943779269	Retention
76	76	77	15614085	AP Hu	664	France	Male	55	8	0.0	2	1	1	139161.64	0	0	0.13761102018076718	Retention
77	77	78	15662121	AP Read	678	France	Female	32	9	0.0	1	1	1	148210.64	0	0	0.11529369185995327	Retention
78	78	79	15575221	AP Bushell	757	Spain	Male	33	5	77253.22	1	0	1	194239.63	0	0	0.0825141830514422	Retention
79	79	80	15803172	AP Postle	416	Germany	Female	41	10	122189.66	2	1	0	98301.61	0	0	0.3554032953767554	Retention
80	80	81	15706057	AP Buley	665	France	Female	34	1	96645.54	2	0	0	171413.66	0	0	0.15352839330973847	Retention
81	81	82	15663742	AP Leonard	777	France	Female	32	2	0.0	1	1	0	136458.19	1	0	0.20059835960990355	Retention
82	82	83	15641768	AP Mills	543	France	Female	36	3	0.0	2	0	0	26019.59	0	0	0.1297066991891032	Retention
83	83	84	15701200	AP Onyeorulu	506	France	Female	34	4	90307.62	1	1	1	159235.29	0	0	0.1119287825375431	Retention
84	84	85	15738787	AP Beit	493	France	Female	46	4	0.0	2	1	0	1907.66	0	0	0.3407625771025789	Retention
85	85	86	15805290	AP Ndukaku	652	Spain	Female	75	10	0.0	2	1	1	114675.75	0	0	0.13960983027615348	Retention
86	86	87	15762454	AP Gant	750	Spain	Male	22	3	121681.82	1	1	0	128643.35	1	0	0.14944041794120694	Retention
87	87	88	15625795	AP Rowley	729	France	Male	30	9	0.0	2	1	0	151869.35	0	0	0.08109801999773801	Retention
88	88	89	15622933	AP Sharpe	646	France	Female	46	4	0.0	3	1	0	93251.42	1	1	0.6636290032213218	Churn
89	89	90	15767990	AP Osborne	635	Germany	Female	28	3	81623.67	2	1	1	156791.36	0	0	0.1136290059638693	Retention
90	90	91	15757571	AP Heap	647	Spain	Female	44	5	0.0	3	1	1	174205.22	1	1	0.5732136574044557	Churn
91	91	92	15731547	AP Ritchie	808	France	Male	45	7	118626.55	2	1	0	147132.46	0	0	0.32326043380477065	Retention
92	92	93	15809284	AP Cole	524	France	Female	36	10	0.0	2	1	0	109614.57	0	0	0.12941147146835377	Retention
93	93	94	15640671	AP Capon	769	France	Male	29	8	0.0	2	1	1	172290.61	0	0	0.04973201495539521	Retention
94	94	95	15677002	AP Capon	730	Spain	Male	42	4	0.0	2	0	1	85982.47	0	0	0.14100340486638416	Retention
95	95	96	15699497	AP Fiorentini	515	Spain	Male	35	10	176273.95	1	0	1	121277.78	0	0	0.09816870306840184	Retention
96	96	97	15738757	AP Graham	773	Spain	Male	41	9	102827.44	1	0	1	64595.25	0	0	0.16662231214189085	Retention
97	97	98	15693719	AP Yuille	814	Germany	Male	29	8	97086.4	2	1	1	197276.13	0	0	0.10786318982326389	Retention
98	98	99	15604384	AP Allard	710	Spain	Male	22	8	0.0	2	0	0	99645.04	0	0	0.09536379079898134	Retention
99	99	100	15633095	AP Fanucci	413	France	Male	34	9	0.0	2	0	0	6534.18	0	0	0.08527403501079452	Retention
100	100	101	15808618	AP Fu	665	France	Female	40	6	0.0	1	1	1	161848.03	0	0	0.15764338528236962	Retention
101	101	102	15743228	AP Hung	623	France	Female	44	6	0.0	2	0	0	167162.43	0	0	0.3182454085817011	Retention
102	102	103	15580182	AP Hung	738	France	Male	31	9	82674.15	1	1	0	41970.72	0	0	0.12677993796107337	Retention
103	103	104	15776641	AP Bradley	528	Spain	Male	36	7	0.0	2	1	0	60536.56	0	0	0.0992855609190927	Retention
104	104	105	15804955	AP Dunbabin	670	Spain	Female	65	1	0.0	1	1	1	177655.68	1	0	0.17620086685586064	Retention
105	105	106	15613890	AP Mauldon	622	Spain	Female	46	4	107073.27	2	1	1	30984.59	1	0	0.21229402818918178	Retention
106	106	107	15599231	AP Stiger	582	Germany	Male	32	1	88938.62	1	1	1	10054.53	0	0	0.13524458218364127	Retention
107	107	108	15812914	AP Parsons	785	Germany	Female	36	2	99806.85	1	0	1	36976.52	0	0	0.2067637329238463	Retention
108	108	109	15602348	AP Walkom	605	Spain	Male	33	5	150092.8	1	0	0	71862.79	0	0	0.1553137995452636	Retention
109	109	110	15744725	AP T'ang	479	Germany	Male	35	9	92833.89	1	1	0	99449.86	1	0	0.2400561952110442	Retention
110	110	111	15803562	AP Eremenko	685	Germany	Male	30	3	90536.81	1	0	1	63082.88	0	0	0.13614878007155812	Retention
111	111	112	15665826	AP Rowntree	538	Germany	Male	39	7	108055.1	2	1	0	27231.26	0	0	0.22820721446637918	Retention
112	112	113	15715987	AP Thorpe	562	France	Male	42	2	100238.35	1	0	0	86797.41	0	0	0.30106996474475534	Retention
113	113	114	15591136	AP Chiemela	675	Spain	Male	36	9	106190.55	1	0	1	22994.32	0	0	0.09144133501871385	Retention
114	114	115	15609654	AP Fanucci	721	Germany	Male	28	9	154475.54	2	0	1	101300.94	1	0	0.12813735721586825	Retention
115	115	116	15675558	AP Ko	628	Germany	Female	30	9	132351.29	2	1	1	74169.13	0	0	0.15546883518241075	Retention
116	116	117	15705548	AP Welch	668	Germany	Female	37	6	167864.4	1	1	0	115638.29	0	0	0.3023448400754566	Retention
117	117	118	15698064	AP Duncan	506	France	Female	41	1	0.0	2	1	0	31766.3	0	0	0.2005634074706812	Retention
118	118	119	15661706	AP Chidozie	524	Germany	Female	31	8	107818.63	1	1	0	199725.39	1	0	0.2895825070533998	Retention
119	119	120	15600817	AP Wu	699	Germany	Male	34	4	185173.81	2	1	0	120834.48	0	0	0.19174830917908547	Retention
120	120	121	15682508	AP Culbreth	828	France	Male	34	8	129433.34	2	0	0	38131.77	0	0	0.10910381287467676	Retention
121	121	122	15580239	AP Kennedy	674	Spain	Male	39	6	120193.42	1	0	0	100130.95	0	0	0.17391867192208618	Retention
122	122	123	15690709	AP Cameron	656	France	Female	39	6	0.0	2	1	0	141069.88	0	0	0.1546632047006144	Retention
123	123	124	15760121	AP Calabresi	684	Germany	Female	48	10	126384.42	1	1	1	198129.36	0	0	0.36977336788858095	Retention
124	124	125	15779695	AP Zetticci	625	France	Female	28	3	0.0	1	0	0	183646.41	0	0	0.20276094460540825	Retention
125	125	126	15627396	AP Fuller	432	France	Male	42	9	152603.45	1	1	0	110265.24	1	0	0.3118714502898557	Retention
126	126	127	15671173	AP MacDonald	549	France	Female	52	1	0.0	1	0	1	8636.05	1	0	0.23368166190458006	Retention
127	127	128	15782724	AP Piccio	625	Germany	Male	56	0	148507.24	1	1	0	46824.08	1	1	0.6206098661925096	Churn
128	128	129	15575528	AP Kennedy	828	France	Female	41	7	0.0	2	1	0	171378.77	0	0	0.20647780126564774	Retention
129	129	130	15591643	AP Fernie	770	France	Male	24	9	101827.07	1	1	0	167256.35	0	0	0.12211422924701772	Retention
130	130	131	15740440	AP He	758	France	Female	34	3	0.0	2	1	1	124226.16	0	0	0.07514995583612727	Retention
131	131	132	15718405	AP Kaodilinakachukwu	795	Germany	Female	33	9	130862.43	1	1	1	114935.21	0	0	0.2040395334074311	Retention
132	132	133	15677907	AP Cocci	687	France	Male	38	9	122570.87	1	1	1	35608.88	0	0	0.0880236763225204	Retention
133	133	134	15642040	AP Alekseeva	686	France	Male	25	1	0.0	2	0	1	16459.37	0	0	0.057067089670076954	Retention
134	134	135	15712579	AP Chinweike	789	Germany	Male	39	7	124828.46	2	1	1	124411.08	0	0	0.15438149248572974	Retention
135	135	136	15584554	AP Arthur	589	Germany	Female	50	5	144895.05	2	1	1	34941.23	0	0	0.32802257780875826	Retention
136	136	137	15802417	AP Li	461	Germany	Female	34	5	63663.93	1	0	1	167784.28	0	0	0.16365430290883914	Retention
137	137	138	15610192	AP Ma	637	France	Male	40	2	133463.1	1	0	1	93165.34	0	0	0.11579521696535862	Retention
138	138	139	15594444	AP Chia	584	Spain	Female	48	2	213146.2	1	1	0	75161.25	1	1	0.5226250936267196	Churn
139	139	140	15640941	AP Vasin	579	Spain	Female	35	1	129490.36	2	0	1	8590.83	1	0	0.11320926744482368	Retention
140	140	141	15698968	AP Groves	756	Germany	Male	44	10	137452.09	1	1	0	189543.9	0	1	0.5019196929159032	Churn
141	141	142	15724980	AP Tien	663	France	Male	34	7	0.0	2	1	1	180427.24	0	0	0.055411672570233224	Retention
142	142	143	15628181	AP Forwood	682	France	Female	43	5	125851.93	1	1	1	193318.33	0	0	0.2340231158428037	Retention
143	143	144	15713519	AP Greeves	793	Spain	Male	52	2	0.0	1	1	0	159123.82	1	0	0.48429779599148004	Retention
144	144	145	15612386	AP Taylor	691	France	Female	31	5	40915.55	1	1	0	126213.84	1	0	0.19115326451323608	Retention
145	145	146	15800739	AP Madukwe	485	Spain	Female	21	5	113157.22	1	1	1	54141.5	0	0	0.114815634916958	Retention
146	146	147	15705743	AP Bennelong	635	Spain	Female	29	8	138296.94	2	1	0	141075.51	0	0	0.17369569436514315	Retention
147	147	148	15754141	AP Olisanugo	650	France	Male	37	5	106967.18	1	0	0	24495.03	0	0	0.14140168386485172	Retention
148	148	149	15703300	AP Chukwufumnanya	735	France	Male	44	9	120681.63	1	1	0	74836.34	0	0	0.3915847437836625	Retention
149	149	150	15794449	AP Harris	416	France	Male	32	0	0.0	2	0	1	878.87	0	0	0.06363397128230891	Retention
150	150	151	15650273	AP Morgan	754	Spain	Female	32	7	0.0	2	1	0	89520.75	0	0	0.13426398382913743	Retention
151	151	152	15759654	AP Alexeeva	535	France	Female	48	9	0.0	1	1	0	149892.79	1	1	0.507977518291443	Churn
152	152	153	15811625	AP Metcalfe	716	Spain	Male	42	8	0.0	2	1	0	180800.42	0	0	0.22902681503324915	Retention
153	153	154	15689080	AP Humphries	539	France	Male	37	2	127609.59	1	1	0	98646.22	0	0	0.13871676671721814	Retention
154	154	155	15709404	AP Milne	614	France	Female	43	6	0.0	2	1	1	109041.53	0	0	0.15476023362911703	Retention
155	155	156	15679181	AP Chou	706	Spain	Male	57	7	0.0	1	1	0	17941.16	1	0	0.4758804038250972	Retention
156	156	157	15655043	AP Li	758	France	Female	33	7	0.0	2	0	0	82996.47	0	0	0.12223505595713423	Retention
157	157	158	15623631	AP Clayton	586	Spain	Female	28	2	0.0	2	1	1	92067.35	0	0	0.073173085949775	Retention
158	158	159	15590011	AP Maclean	646	France	Female	73	6	97259.25	1	0	1	104719.66	0	0	0.20887231962010955	Retention
159	159	160	15804053	AP Chigolum	631	Germany	Female	33	4	123246.7	1	0	0	112687.57	0	0	0.3066264416908428	Retention
160	160	161	15692168	AP Wilkinson	717	Spain	Female	22	6	101060.25	1	0	1	84699.56	0	0	0.11227119930682347	Retention
161	161	162	15641158	AP Wei	684	France	Male	30	2	0.0	2	1	0	83473.82	0	0	0.07916807829800346	Retention
162	162	163	15630946	AP Treacy	800	France	Female	49	7	108007.36	1	0	0	47125.11	0	0	0.45927127798295386	Retention
163	163	164	15680808	AP Hu	721	Spain	Female	36	2	0.0	2	1	1	106977.8	0	0	0.07799680176129622	Retention
164	164	165	15658965	AP Taverner	683	Spain	Male	29	0	133702.89	1	1	0	55582.54	1	0	0.15519677098879844	Retention
165	165	166	15585424	AP Sherman	660	Germany	Male	31	9	125189.75	2	1	1	139874.43	0	0	0.12005804240982694	Retention
166	166	167	15724659	AP Taubman	704	Germany	Female	24	7	113034.22	1	1	0	162503.48	1	0	0.2961042193088912	Retention
167	167	168	15588573	AP Robinson	615	Spain	Female	41	9	109013.23	1	1	0	196499.96	0	0	0.32243489812004605	Retention
168	168	169	15574728	AP Pinto	667	Spain	Female	39	2	0.0	2	1	0	40721.24	1	0	0.1539390607682268	Retention
169	169	170	15611361	AP Wood	682	Germany	Male	24	9	57929.81	2	0	0	53134.3	0	0	0.13242359957337685	Retention
170	170	171	15587598	AP Hawkins	484	France	Female	29	4	130114.39	1	1	0	164017.89	0	0	0.17965744097852487	Retention
171	171	172	15613208	AP Sun	628	Germany	Male	27	5	95826.49	2	1	0	155996.96	0	0	0.1660001932035123	Retention
172	172	173	15651058	AP Yost	480	Germany	Male	44	10	129608.57	1	1	0	5472.7	1	1	0.525831718377069	Churn
173	173	174	15586346	AP Ting	578	France	Male	30	4	169462.09	1	1	0	112187.11	0	0	0.1350397361332565	Retention
174	174	175	15625560	AP Rowe	512	France	Male	40	5	0.0	2	1	1	146457.83	0	0	0.0815429159821484	Retention
175	175	176	15755245	AP Fu	484	Spain	Female	35	7	133868.21	1	1	1	27286.1	0	0	0.12664239638359068	Retention
176	176	177	15645284	AP Ho	510	France	Female	30	0	0.0	2	1	1	130553.47	0	0	0.06846942977371726	Retention
177	177	178	15790391	AP Okechukwu	606	Germany	Male	36	5	190479.48	2	0	0	179351.89	0	0	0.19546639722036285	Retention
178	178	179	15762651	AP Campbell	597	Spain	Female	40	8	101993.12	1	0	1	94774.12	0	0	0.13761143172288032	Retention
179	179	180	15625462	AP Ashbolt	754	Germany	Female	55	3	161608.81	1	1	0	8080.85	1	1	0.6093612139415777	Churn
180	180	181	15716370	AP Rozier	850	Spain	Female	45	2	122311.21	1	1	1	19482.5	0	0	0.24358613590202544	Retention
181	181	182	15789705	AP Hsia	510	France	Male	65	2	0.0	2	1	1	48071.61	0	0	0.1192053480925563	Retention
182	182	183	15621111	AP Ogbonnaya	778	Germany	Female	45	1	162150.42	2	1	0	174531.27	0	0	0.4823177073442742	Retention
183	183	184	15810881	AP T'ang	636	France	Male	42	2	0.0	2	1	1	55470.78	0	0	0.1333897572733081	Retention
184	184	185	15719413	AP Cocci	804	France	Female	50	4	0.0	1	1	1	8546.87	1	0	0.23300071119215132	Retention
185	185	186	15654542	AP Chang	514	France	Male	32	8	0.0	2	1	0	95857.18	0	0	0.07920288694517247	Retention
186	186	187	15772013	AP T'ao	730	France	Female	39	1	99010.67	1	1	0	194945.8	0	0	0.20806832369438602	Retention
187	187	188	15708746	AP Ford	525	Spain	Female	37	0	0.0	1	0	1	131521.72	0	0	0.12326876696963268	Retention
188	188	189	15726712	AP Marshall	616	Spain	Male	30	5	0.0	2	0	1	196108.51	0	0	0.056676293742216416	Retention
189	189	190	15587457	AP Tsai	687	Germany	Female	34	7	111388.18	2	1	0	148564.76	0	0	0.2529629746254863	Retention
190	190	191	15726967	AP Onwumelu	715	France	Female	41	8	56214.85	2	0	0	92982.61	1	0	0.2213161913670264	Retention
191	191	192	15771122	AP Graham	512	France	Female	36	3	84327.77	2	1	0	17675.36	0	0	0.14990237635913586	Retention
192	192	193	15756886	AP Golovanov	479	France	Male	40	1	0.0	2	0	0	114996.43	0	0	0.10292426606130997	Retention
193	193	194	15702777	AP Potts	601	France	Male	32	8	93012.89	1	1	0	86957.42	0	0	0.1225681171782396	Retention
194	194	195	15679236	AP Crawford	580	Spain	Male	29	9	61710.44	2	1	0	128077.8	0	0	0.11094167522898697	Retention
195	195	196	15594851	AP Aleshire	807	France	Male	35	3	174790.15	1	1	1	600.36	0	0	0.09256002250126043	Retention
196	196	197	15635941	AP Moran	616	Spain	Female	32	6	0.0	2	1	1	43001.46	0	0	0.07467014705769999	Retention
197	197	198	15777928	AP Samsonova	721	Germany	Male	37	3	107720.64	1	1	1	158591.12	0	0	0.17174177497210505	Retention
198	198	199	15656212	AP Jenkins	501	France	Male	57	10	0.0	2	1	1	47847.19	0	0	0.1372449586569199	Retention
199	199	200	15811163	AP Volkov	521	France	Male	35	6	96423.84	1	1	0	10488.44	0	0	0.1315923693430165	Retention
200	200	201	15604518	AP Chiemezie	850	Spain	Male	30	2	141040.01	1	1	1	5978.2	0	0	0.0832985890720959	Retention
201	201	202	15622947	AP Jude	759	France	Male	42	4	105420.18	1	0	1	121409.06	0	0	0.20430972159890728	Retention
202	202	203	15601010	AP He	516	Spain	Male	50	5	0.0	1	0	1	146145.93	1	0	0.2176077434432112	Retention
203	203	204	15727904	AP Onuora	711	France	Female	38	2	129022.06	2	1	1	14374.86	1	0	0.10847160892247652	Retention
204	204	205	15627837	AP Ginikanwa	512	Spain	Male	33	3	176666.62	1	1	0	94670.77	0	0	0.15506991099910933	Retention
205	205	206	15773075	AP Ku	550	France	Male	37	3	0.0	1	1	1	179670.31	0	0	0.09680930252722648	Retention
206	206	207	15755298	AP McDonald	608	Spain	Female	41	3	89763.84	1	0	0	199304.74	1	0	0.3355084511597824	Retention
207	207	208	15679567	AP Collins	618	France	Male	34	5	134954.53	1	1	1	151954.39	0	0	0.08441483301988065	Retention
208	208	209	15684217	AP Hackett	643	France	Male	45	5	0.0	1	1	0	142513.5	1	0	0.40701862622620205	Retention
209	209	210	15612123	AP Dike	671	France	Male	45	2	106376.85	1	0	1	158264.62	0	0	0.22921506558450727	Retention
210	210	211	15752083	AP Trevisano	689	Germany	Male	33	2	161814.64	2	1	0	169381.9	0	0	0.1981686112572499	Retention
211	211	212	15624628	AP Tan	603	France	Male	31	8	0.0	2	1	1	169915.02	0	0	0.05115409221050836	Retention
212	212	213	15573188	AP Glassman	620	France	Female	41	9	0.0	2	0	0	88852.47	0	0	0.1990178888483654	Retention
213	213	214	15594953	AP Miller	676	France	Female	34	1	63095.01	1	1	1	40645.81	0	0	0.11097805806767613	Retention
214	214	215	15785578	AP Kornilova	572	Germany	Male	26	4	118287.01	2	0	0	60427.3	0	0	0.18753772096165788	Retention
215	215	216	15723524	AP Watson	668	Germany	Male	47	7	106854.21	1	0	1	157959.02	1	0	0.35462233687487205	Retention
216	216	217	15680956	AP Marchesi	695	France	Male	46	7	49512.55	1	1	0	133007.34	0	0	0.4310428748793772	Retention
217	217	218	15786344	AP Millar	730	Spain	Female	33	9	0.0	2	0	0	176576.62	0	0	0.13753685742316069	Retention
218	218	219	15659402	AP Shih	807	France	Male	43	1	105799.32	2	1	0	34888.04	1	0	0.2689232872563192	Retention
219	219	220	15774890	AP Fuller	592	France	Male	54	8	0.0	1	1	1	28737.71	1	0	0.21341704264603995	Retention
220	220	221	15725347	AP Hay	726	France	Female	31	9	114722.05	2	1	1	98178.57	0	0	0.09323009184408126	Retention
221	221	222	15787191	AP Yang	514	Spain	Male	30	7	0.0	1	0	1	125010.24	0	0	0.09233701672900989	Retention
